                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.97882,                0.63565,                 1.0428,                0.99687,                      1,                  0.995,                0.65976,                 1.3144,                0.85913,                 1.1829,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0185,                 0.6523,                 1.0513,                0.99664,                      1,                  0.995,                0.64392,                 1.2897,                0.87793,                 1.1875,              0.0009506,              0.0009506,              0.0009506
                     55,                0.94085,                0.60663,                 1.0341,                0.99657,                      1,                  0.995,                0.63788,                 1.2761,                0.87738,                 1.1784,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0615,                 0.6903,                 1.0703,                0.99675,                      1,                  0.995,                0.65304,                 1.2866,                0.80255,                 1.1517,               0.000911,               0.000911,               0.000911
                     57,                 1.0596,                0.70825,                 1.0743,                0.99688,                      1,                  0.995,                0.64395,                 1.3013,                0.79192,                 1.1616,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0238,                0.65054,                   1.06,                0.99695,                      1,                  0.995,                0.60452,                 1.2874,                0.78934,                 1.1867,              0.0008714,              0.0008714,              0.0008714
                     59,                0.98339,                0.68261,                 1.0613,                0.99706,                      1,                  0.995,                0.60398,                 1.2855,                0.77009,                 1.1916,              0.0008516,              0.0008516,              0.0008516
                     60,                0.96554,                0.63846,                  1.039,                  0.997,                      1,                  0.995,                 0.6344,                 1.2095,                0.71776,                  1.148,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.9455,                0.64995,                 1.0221,                0.99704,                      1,                  0.995,                0.61469,                 1.2157,                0.71768,                 1.1444,               0.000812,               0.000812,               0.000812
                     62,                0.95883,                0.60714,                 1.0251,                0.99705,                      1,                  0.995,                0.61341,                 1.2421,                0.69458,                 1.1541,              0.0007922,              0.0007922,              0.0007922
                     63,                0.98922,                0.61544,                 1.0539,                0.99723,                      1,                  0.995,                0.60348,                 1.2599,                0.69593,                 1.1667,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1127,                 0.7058,                 1.0905,                0.99694,                      1,                  0.995,                 0.6075,                 1.2533,                0.66401,                 1.1632,              0.0007526,              0.0007526,              0.0007526
                     65,                0.97004,                0.61771,                 1.0561,                 0.9968,                      1,                  0.995,                 0.6202,                 1.2335,                0.63374,                 1.1477,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.007,                0.62252,                 1.0715,                0.99692,                      1,                  0.995,                 0.6295,                 1.2315,                0.60953,                 1.1604,               0.000713,               0.000713,               0.000713
                     67,                0.92499,                0.57637,                 1.0287,                0.99707,                      1,                  0.995,                0.64042,                 1.2653,                0.60838,                 1.1977,              0.0006932,              0.0006932,              0.0006932
                     68,                0.96124,                0.67179,                 1.0489,                0.99719,                      1,                  0.995,                0.63424,                 1.2322,                0.61101,                 1.1794,              0.0006734,              0.0006734,              0.0006734
                     69,                0.98449,                0.60685,                  1.068,                0.99717,                      1,                  0.995,                0.65866,                 1.2159,                 0.6162,                 1.1582,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.8899,                0.59655,                 1.0234,                0.99717,                      1,                  0.995,                0.66669,                 1.2122,                0.60454,                 1.1464,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.017,                0.60892,                 1.0448,                0.99726,                      1,                  0.995,                0.66113,                 1.2198,                0.58638,                 1.1505,               0.000614,               0.000614,               0.000614
                     72,                0.92579,                0.57834,                  1.049,                0.99718,                      1,                  0.995,                0.66992,                  1.203,                0.56824,                 1.1309,              0.0005942,              0.0005942,              0.0005942
                     73,                0.96238,                0.59376,                 1.0457,                0.99721,                      1,                  0.995,                0.67122,                  1.199,                 0.5811,                 1.1266,              0.0005744,              0.0005744,              0.0005744
                     74,                0.87634,                0.54886,                0.99352,                0.99722,                      1,                  0.995,                0.66503,                  1.202,                0.58117,                 1.1159,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.8713,                0.54647,                 1.0136,                 0.9972,                      1,                  0.995,                0.69269,                 1.1922,                0.59017,                 1.1054,              0.0005348,              0.0005348,              0.0005348
                     76,                0.97271,                0.58941,                 1.0535,                0.99706,                      1,                  0.995,                0.69839,                   1.15,                0.57582,                 1.0616,               0.000515,               0.000515,               0.000515
                     77,                0.92855,                0.52813,                 1.0017,                0.99712,                      1,                  0.995,                0.69461,                 1.1326,                0.56631,                 1.0516,              0.0004952,              0.0004952,              0.0004952
                     78,                0.96283,                0.55292,                  1.003,                0.99715,                      1,                  0.995,                0.68938,                 1.1572,                0.57468,                 1.0763,              0.0004754,              0.0004754,              0.0004754
                     79,                0.84061,                0.53994,                0.98326,                0.99714,                      1,                  0.995,                0.67172,                 1.1886,                 0.5713,                 1.1024,              0.0004556,              0.0004556,              0.0004556
                     80,                0.92787,                0.55265,                 1.0127,                0.99702,                      1,                  0.995,                  0.651,                 1.2125,                0.57857,                 1.1216,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.7834,                0.50219,                0.98242,                0.99705,                      1,                  0.995,                0.67388,                  1.189,                0.57702,                 1.0978,               0.000416,               0.000416,               0.000416
                     82,                0.83826,                0.53444,                0.98924,                0.99698,                      1,                  0.995,                0.67819,                 1.1719,                0.57166,                 1.0817,              0.0003962,              0.0003962,              0.0003962
                     83,                0.79265,                0.48051,                0.93694,                0.99698,                      1,                  0.995,                0.67161,                 1.1777,                0.55878,                 1.0974,              0.0003764,              0.0003764,              0.0003764
                     84,                0.87642,                0.53065,                 1.0288,                0.99708,                      1,                  0.995,                0.62837,                 1.2769,                0.56761,                  1.207,              0.0003566,              0.0003566,              0.0003566
